報告位置,項目,數字,分子,分母,驗算式,來源欄位／表,篩選條件,信賴度
§6.2 資源×階段,落地／主要靠我自己想辦法,35.3%,6,17,6/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
§6.2 資源×階段,落地／其他（自由填答）,0.0%,0,17,0/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
§6.2 資源×階段,維運／人脈（例如：由社群介紹可諮詢的專家）,84.6%,11,13,11/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
§6.2 資源×階段,維運／經費（例如：獎助金、標案或機構支持費用）,61.5%,8,13,8/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
§6.2 資源×階段,維運／公開資料或開放資料（例如：政治獻金資料集）,61.5%,8,13,8/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
§6.2 資源×階段,維運／場地（例如：NPO Hub）,46.2%,6,13,6/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
§6.2 資源×階段,維運／現成的數位工具或平台（例如：Pol.is）,30.8%,4,13,4/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
§6.2 資源×階段,維運／政府窗口（例如：協助將專案成果結合到體制內）,46.2%,6,13,6/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
§6.2 資源×階段,維運／主要靠我自己想辦法,15.4%,2,13,2/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
§6.2 資源×階段,維運／其他（自由填答）,0.0%,0,13,0/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
§6.2 資源×階段,停擺／人脈（例如：由社群介紹可諮詢的專家）,66.7%,4,6,4/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
§6.2 資源×階段,停擺／經費（例如：獎助金、標案或機構支持費用）,50.0%,3,6,3/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
§6.2 資源×階段,停擺／公開資料或開放資料（例如：政治獻金資料集）,33.3%,2,6,2/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
§6.2 資源×階段,停擺／場地（例如：NPO Hub）,50.0%,3,6,3/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
§6.2 資源×階段,停擺／現成的數位工具或平台（例如：Pol.is）,0.0%,0,6,0/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
§6.2 資源×階段,停擺／政府窗口（例如：協助將專案成果結合到體制內）,16.7%,1,6,1/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
§6.2 資源×階段,停擺／主要靠我自己想辦法,0.0%,0,6,0/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
§6.2 資源×階段,停擺／其他（自由填答）,0.0%,0,6,0/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
§6.3 資源×決策位置,方向決策者／人脈（例如：由社群介紹可諮詢的專家）,78.6%,22,28,22/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
§6.3 資源×決策位置,方向決策者／經費（例如：獎助金、標案或機構支持費用）,50.0%,14,28,14/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
§6.3 資源×決策位置,方向決策者／公開資料或開放資料（例如：政治獻金資料集）,50.0%,14,28,14/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
§6.3 資源×決策位置,方向決策者／場地（例如：NPO Hub）,50.0%,14,28,14/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
§6.3 資源×決策位置,方向決策者／現成的數位工具或平台（例如：Pol.is）,42.9%,12,28,12/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
§6.3 資源×決策位置,方向決策者／政府窗口（例如：協助將專案成果結合到體制內）,42.9%,12,28,12/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
§6.3 資源×決策位置,方向決策者／主要靠我自己想辦法,25.0%,7,28,7/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
§6.3 資源×決策位置,方向決策者／其他（自由填答）,0.0%,0,28,0/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
§6.3 資源×決策位置,執行協力者／人脈（例如：由社群介紹可諮詢的專家）,47.4%,9,19,9/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
§6.3 資源×決策位置,執行協力者／經費（例如：獎助金、標案或機構支持費用）,42.1%,8,19,8/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
§6.3 資源×決策位置,執行協力者／公開資料或開放資料（例如：政治獻金資料集）,36.8%,7,19,7/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
§6.3 資源×決策位置,執行協力者／場地（例如：NPO Hub）,26.3%,5,19,5/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
§6.3 資源×決策位置,執行協力者／現成的數位工具或平台（例如：Pol.is）,26.3%,5,19,5/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
§6.3 資源×決策位置,執行協力者／政府窗口（例如：協助將專案成果結合到體制內）,21.1%,4,19,4/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
§6.3 資源×決策位置,執行協力者／主要靠我自己想辦法,21.1%,4,19,4/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
§6.3 資源×決策位置,執行協力者／其他（自由填答）,5.3%,1,19,1/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
§7 出資評估準則,它要解決的問題夠重要、而且講得夠清楚,59.3%,16,27,16/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
§7 出資評估準則,呼應我自己關心的議題,51.9%,14,27,14/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
§7 出資評估準則,團隊或發起人的能力和信譽,44.4%,12,27,12/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
§7 出資評估準則,預期能產生看得到、而且能被衡量的影響,44.4%,12,27,12/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
§7 出資評估準則,專案有長期維持下去的規劃，不會經費花完就停止,40.7%,11,27,11/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
§7 出資評估準則,當時剛好有預算或資源,25.9%,7,27,7/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
§7 資源沙漠階段,還在很早期、只有想法的,51.9%,14,27,14/27,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
§7 資源沙漠階段,已經上線、要長期維運的,37.0%,10,27,10/27,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
§7 資源沙漠階段,已經做出原型、要往落地走的,11.1%,3,27,3/27,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
§8.2 跨領域工具,群眾協力與通報工具（讓沒有技術背景的人，也能簡單回報、標記，一起累積資料）,61.1%,77,126,77/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
§8.2 跨領域工具,AI 應用（用 AI 整理、查證資料等）,54.0%,68,126,68/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
§8.2 跨領域工具,資料視覺化工具,51.6%,65,126,65/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
§8.2 跨領域工具,地理資訊與地圖工具（GIS、線上地圖）,42.1%,53,126,53/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
§8.2 跨領域工具,民意蒐集與線上審議工具（例如問卷、Polis、討論平台）,32.5%,41,126,41/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
§8.2 跨領域工具,怎麼找到現成的研究成果（學術論文、政府委辦研究、考察報告）,31.0%,39,126,39/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
§8.2 跨領域工具,開放協作知識庫（維基百科、Wikidata 等共筆知識）,19.0%,24,126,24/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
§8.2 議題領域,政府預算、決算與標案（看政府的錢怎麼花）,53.5%,68,127,68/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,地方發展與地方創生,47.2%,60,127,60/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,防災與災害應變,42.5%,54,127,54/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,假訊息與詐騙防治,41.7%,53,127,53/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,環境汙染與公害,30.7%,39,127,39/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,法律、立法歷程,30.7%,39,127,39/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,居住與租屋,29.9%,38,127,38/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,生態與生物多樣性,29.1%,37,127,37/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,交通與道路安全,24.4%,31,127,31/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,水環境（河川、海洋）,22.8%,29,127,29/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,健康與醫療,22.0%,28,127,28/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,土地使用與違章建築,21.3%,27,127,27/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,教育、親子與兒少青年,20.5%,26,127,26/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,司法判決資料,17.3%,22,127,22/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,選舉與政見資料,16.5%,21,127,21/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,語言與溝通（例如台語、點字）,15.0%,19,127,19/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,台灣的森林地利用,0.8%,1,127,1/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,勞工權益相關的領域,0.8%,1,127,1/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,都市計畫超難查詢啦,0.8%,1,127,1/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,轉型正義,0.8%,1,127,1/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§8.2 議題領域,雖然非化學科系，但我對事業廢棄物的處置及案件非常有興趣,0.8%,1,127,1/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
§9.1 g0v 消息管道,g0v 社群管道（FB_Threads_Instgram),40.2%,51,127,51/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,親友推薦,40.2%,51,127,51/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,g0v Slack,22.8%,29,127,29/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,揪松團每月電子報,18.9%,24,127,24/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,揪松團 LINE 群組,11.8%,15,127,15/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,都沒有，我之前不太清楚這些管道,11.0%,14,127,14/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,社群活動資訊彙整網頁（https://g0v.hackmd.io/@jothon/event）,4.7%,6,127,6/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,[去識別化],0.8%,1,127,1/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,過去工作聽同事分享,0.8%,1,127,1/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,樓梯公佈欄,0.8%,1,127,1/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 g0v 消息管道,g0v.social?,0.8%,1,127,1/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
§9.1 資訊管道,非營利組織（例如：開放文化基金會、地球公民基金會）,59.1%,75,127,75/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,開源社群（例如：COSCUP、SITCON、g0v）,53.5%,68,127,68/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,研究單位,19.7%,25,127,25/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,學校,15.7%,20,127,20/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,我還不熟悉相關資訊管道,11.0%,14,127,14/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,政府單位,7.1%,9,127,9/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,企業,1.6%,2,127,2/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,[去識別化],0.8%,1,127,1/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,社群媒體,0.8%,1,127,1/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,朋友轉發,0.8%,1,127,1/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,朋友圈分享,0.8%,1,127,1/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,個人興趣，主動搜尋,0.8%,1,127,1/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.1 資訊管道,有關注網路意見領袖，他們會分享,0.8%,1,127,1/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
§9.2 未參與原因,不知道有哪些專案或議題,61.5%,16,26,16/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26（此題未問「接觸未參與」層）,L1（僅供參考）
§9.2 未參與原因,身邊沒有人帶，怕自己融不進去、或幫不上忙,53.8%,14,26,14/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26（此題未問「接觸未參與」層）,L1（僅供參考）
§9.2 未參與原因,不知道怎麼加入、找不到入口,50.0%,13,26,13/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26（此題未問「接觸未參與」層）,L1（僅供參考）
§9.2 未參與原因,覺得要會寫程式、技術門檻太高,34.6%,9,26,9/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26（此題未問「接觸未參與」層）,L1（僅供參考）
§9.2 未參與原因,沒有時間,30.8%,8,26,8/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26（此題未問「接觸未參與」層）,L1（僅供參考）
§9.2 未參與原因,還沒遇到讓我想投入的議題,15.4%,4,26,4/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26（此題未問「接觸未參與」層）,L1（僅供參考）
§9.2 未參與原因,覺得參與好像也改變不了什麼,7.7%,2,26,2/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26（此題未問「接觸未參與」層）,L1（僅供參考）
§9.2 未參與原因,其他（自由填答）,3.8%,1,26,1/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26（此題未問「接觸未參與」層）,L1（僅供參考）
§9.4 活動意願,公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,57.5%,73,127,73/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
§9.4 活動意願,公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,51.2%,65,127,65/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
§9.4 活動意願,公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,48.8%,62,127,62/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
§9.4 活動意願,用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,33.1%,42,127,42/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
§9.4 活動意願,目前都沒有特別想參加,1.6%,2,127,2/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
§9.4 活動意願,寫出雛形 但想知道如何優化,0.8%,1,127,1/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
§9.4 活動意願×三層,從未接觸／公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,46.2%,12,26,12/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
§9.4 活動意願×三層,從未接觸／公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,53.8%,14,26,14/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
§9.4 活動意願×三層,從未接觸／公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,69.2%,18,26,18/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
§9.4 活動意願×三層,從未接觸／用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,34.6%,9,26,9/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
§9.4 活動意願×三層,從未接觸／目前都沒有特別想參加,0.0%,0,26,0/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
§9.4 活動意願×三層,從未接觸／寫出雛形 但想知道如何優化,0.0%,0,26,0/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
§9.4 活動意願×三層,接觸未參與／公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,59.3%,32,54,32/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
§9.4 活動意願×三層,接觸未參與／公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,51.9%,28,54,28/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
§9.4 活動意願×三層,接觸未參與／公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,50.0%,27,54,27/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
§9.4 活動意願×三層,接觸未參與／用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,29.6%,16,54,16/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
§9.4 活動意願×三層,接觸未參與／目前都沒有特別想參加,0.0%,0,54,0/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
§9.4 活動意願×三層,接觸未參與／寫出雛形 但想知道如何優化,0.0%,0,54,0/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
§9.4 活動意願×三層,曾參與／公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,61.7%,29,47,29/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
§9.4 活動意願×三層,曾參與／公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,48.9%,23,47,23/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
§9.4 活動意願×三層,曾參與／公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,36.2%,17,47,17/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
§9.4 活動意願×三層,曾參與／用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,36.2%,17,47,17/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
§9.4 活動意願×三層,曾參與／目前都沒有特別想參加,4.3%,2,47,2/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
§9.4 活動意願×三層,曾參與／寫出雛形 但想知道如何優化,2.1%,1,47,1/47,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=曾參與,L2
§8.1 狩野（全體）,如何發起一個公民科技專案,SI 0.598／DSI -0.316（魅力 A）,70,117,SI=(A42+O28)/117；DSI=-(O28+M9)/117,02_狩野_全體.csv（功能型×反功能型查表）,全體有作答者；分母排除 R 與 Q,L3
§8.1 狩野（全體）,沒有現成資料時，怎麼搜尋、整理或自建資料集,SI 0.624／DSI -0.333（魅力 A）,73,117,SI=(A41+O32)/117；DSI=-(O32+M7)/117,02_狩野_全體.csv（功能型×反功能型查表）,全體有作答者；分母排除 R 與 Q,L3
§8.1 狩野（全體）,怎麼捲動更多人（包含不會寫程式的人）一起參與,SI 0.624／DSI -0.239（魅力 A）,73,117,SI=(A51+O22)/117；DSI=-(O22+M6)/117,02_狩野_全體.csv（功能型×反功能型查表）,全體有作答者；分母排除 R 與 Q,L3
§8.1 狩野（全體）,怎麼留住夥伴、維持團隊運作的能量,SI 0.65／DSI -0.239（魅力 A）,76,117,SI=(A52+O24)/117；DSI=-(O24+M4)/117,02_狩野_全體.csv（功能型×反功能型查表）,全體有作答者；分母排除 R 與 Q,L3
§8.1 狩野（全體）,怎麼讓做好的東西真正落地、接進體制,SI 0.793／DSI -0.44（魅力 A）,92,116,SI=(A47+O45)/116；DSI=-(O45+M6)/116,02_狩野_全體.csv（功能型×反功能型查表）,全體有作答者；分母排除 R 與 Q,L3
§10 新舊對照,如何發起一個公民科技專案,SI 0.595→0.598,6,126,120→126，差 6（應=6）,02_狩野_新舊對照.csv,新檔 vs 舊去識別化檔,黃金對照
§10 新舊對照,沒有現成資料時，怎麼搜尋、整理或自建資料集,SI 0.622→0.624,6,126,120→126，差 6（應=6）,02_狩野_新舊對照.csv,新檔 vs 舊去識別化檔,黃金對照
§10 新舊對照,怎麼捲動更多人（包含不會寫程式的人）一起參與,SI 0.613→0.624,6,126,120→126，差 6（應=6）,02_狩野_新舊對照.csv,新檔 vs 舊去識別化檔,黃金對照
§10 新舊對照,怎麼留住夥伴、維持團隊運作的能量,SI 0.64→0.65,6,126,120→126，差 6（應=6）,02_狩野_新舊對照.csv,新檔 vs 舊去識別化檔,黃金對照
§10 新舊對照,怎麼讓做好的東西真正落地、接進體制,SI 0.791→0.793,6,126,120→126，差 6（應=6）,02_狩野_新舊對照.csv,新檔 vs 舊去識別化檔,黃金對照
