行號,章節,寫法,原文,分子,分母,取自,問卷題目,分母是誰,信賴度
154,第 3.1 節,裸數字（人數）,18 人,18,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與者依參與深度分成五組，各組 5–18 人,
162,第 3.2 節,寫明分母,8 人中有 1 人（12%）,1,8,協力參與／核心成員累垮，常常一個人撐住整個專案（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
162,第 3.2 節,寫明分母,8 人中有 1 人（12%）,1,8,協力參與／做出來的成果（工具、服務）很難真正發揮影響力（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
163,第 3.2 節,寫明分母,18 人中有 6 人（33%）,6,18,共創解法／核心成員累垮，常常一個人撐住整個專案（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
163,第 3.2 節,寫明分母,18 人中有 8 人（44%）,8,18,共創解法／做出來的成果（工具、服務）很難真正發揮影響力（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
164,第 3.2 節,寫明分母,10 人中有 6 人（60%）,6,10,發起專案／核心成員累垮，常常一個人撐住整個專案（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
164,第 3.2 節,寫明分母,10 人中有 5 人（50%）,5,10,發起專案／做出來的成果（工具、服務）很難真正發揮影響力（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
166,第 3.2 節,裸數字（人數）,10 個人,10,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案 N=10、協力參與 N=8,
166,第 3.2 節,裸數字（人數）,8 個人,8,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案 N=10、協力參與 N=8,
166,第 3.2 節,裸數字（其他量詞）,6 個,,,計數或題目設計說明,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案 N=10、協力參與 N=8,
166,第 3.2 節,裸數字（其他量詞）,1 個,,,計數或題目設計說明,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案 N=10、協力參與 N=8,
168,第 3.2 節,裸數字（人數）,5 人,5,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊 N=5、主動通報 N=6,
168,第 3.2 節,裸數字（人數）,6 人,6,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊 N=5、主動通報 N=6,
168,第 3.2 節,裸數字（人數）,5 個人,5,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊 N=5、主動通報 N=6,
168,第 3.2 節,裸數字（其他量詞）,2 個,,,計數或題目設計說明,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊 N=5、主動通報 N=6,
168,第 3.2 節,裸數字（百分比）,40%,,,比例（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊 N=5、主動通報 N=6,
174,第 3.3 節,寫明分母,33%（2/6）,2,6,主動通報／新手或不會寫程式的人，不知道能幫什麼（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
174,第 3.3 節,寫明分母,20%（1/5）,1,5,接收資訊／抓不準專案到底要解決什麼問題（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
174,第 3.3 節,寫明分母,12%（1/8）,1,8,協力參與／新手或不會寫程式的人，不知道能幫什麼（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
174,第 3.3 節,寫明分母,0%（0/18）,0,18,共創解法／新手或不會寫程式的人，不知道能幫什麼（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
174,第 3.3 節,寫明分母,10%（1/10）,1,10,發起專案／抓不準專案到底要解決什麼問題（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
174,第 3.3 節,裸數字（百分比）,10%,,,比例（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法 N=18、發起專案 N=10,
176,第 3.3 節,裸數字（人數）,18 個人,18,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法 N=18；五組各 5–18 人,
176,第 3.3 節,裸數字（人數）,18 人,18,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法 N=18；五組各 5–18 人,
180,第 3.4 節,裸數字（人數）,28 人,28,,樣本數陳述,選填開放題,填答「面對困難採取什麼行動」的 28 人,
194,第 3.4 節,裸數字（人數）,6 人,6,,計數（分母寫在同段落的其他數字裡）,面對這些困難，你有採取什麼行動去解決嗎？,曾參與者中填答此選填開放題的 28 人,
194,第 3.4 節,裸數字（人數）,5 人,5,,計數（分母寫在同段落的其他數字裡）,面對這些困難，你有採取什麼行動去解決嗎？,曾參與者中填答此選填開放題的 28 人,
194,第 3.4 節,裸數字（人數）,6 人,6,,計數（分母寫在同段落的其他數字裡）,面對這些困難，你有採取什麼行動去解決嗎？,曾參與者中填答此選填開放題的 28 人,
194,第 3.4 節,裸數字（人數）,28 位,28,,樣本數陳述,選填開放題,填答「面對困難採取什麼行動」的 28 人,
194,第 3.4 節,裸數字（人數）,11 人,11,,計數（分母寫在同段落的其他數字裡）,面對這些困難，你有採取什麼行動去解決嗎？,曾參與者中填答此選填開放題的 28 人,
196,第 3.4 節,裸數字（人數）,11 人,11,,計數（分母寫在同段落的其他數字裡）,面對這些困難，你有採取什麼行動去解決嗎？,曾參與者中填答此選填開放題的 28 人,
198,第 3.4 節,裸數字（人數）,28 人,28,,樣本數陳述,選填開放題,填答「面對困難採取什麼行動」的 28 人,
198,第 3.4 節,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
204,第 4 章,裸數字（人數）,47 位,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
204,第 4 章,裸數字（其他量詞）,6 項,,,計數或題目設計說明,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,題目設計說明：兩題皆複選，實際作答每人勾 1–6 項，不是統計結果,
204,第 4 章,裸數字（其他量詞）,2 項,,,計數或題目設計說明,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,題目設計說明：兩題皆複選，實際作答每人勾 1–6 項，不是統計結果,
215,第 4 章,裸數字（人數）,39 人,39,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47，逐人配對比較,
215,第 4 章,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
215,第 4 章,裸數字（人數）,19 人,19,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47，逐人配對比較,
215,第 4 章,裸數字（百分比）,40%,,,比例（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47，逐人配對比較,
217,第 4 章,裸數字（人數）,20 人,20,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；各動機的流失／新增分母為第一次選該動機的人數,
217,第 4 章,裸數字（人數）,6 人,6,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；各動機的流失／新增分母為第一次選該動機的人數,
217,第 4 章,裸數字（人數）,4 人,4,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；各動機的流失／新增分母為第一次選該動機的人數,
217,第 4 章,裸數字（人數）,6 人,6,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；各動機的流失／新增分母為第一次選該動機的人數,
217,第 4 章,裸數字（人數）,9 人,9,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；各動機的流失／新增分母為第一次選該動機的人數,
219,第 4 章,裸數字（人數）,47 位,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
219,第 4 章,裸數字（人數）,39 人,39,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；留存率的分母是第一次選該動機的人數（社群歸屬為 20 人），不是 47,
219,第 4 章,裸數字（人數）,39 人,39,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；留存率的分母是第一次選該動機的人數（社群歸屬為 20 人），不是 47,
219,第 4 章,裸數字（人數）,20 人,20,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；留存率的分母是第一次選該動機的人數（社群歸屬為 20 人），不是 47,
219,第 4 章,裸數字（人數）,17 人,17,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；留存率的分母是第一次選該動機的人數（社群歸屬為 20 人），不是 47,
219,第 4 章,裸數字（百分比）,70%,,,比例（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47；留存率的分母是第一次選該動機的人數（社群歸屬為 20 人），不是 47,
221,第 4 章,寫明分母,40%（4/10）,4,10,30 歲以下／累積作品集，練功或建立好名聲,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=30 歲以下（年齡收合 3 層）,L1（僅供產生假設）
221,第 4 章,寫明分母,19%（9/47）,9,47,累積作品集，練功或建立好名聲,那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47,L2
221,第 4 章,裸數字（人數）,10 人,10,,計數（分母寫在同段落的其他數字裡）,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與者依年齡收合三層（30 歲以下 10、31–40 歲 19、41 歲以上 18）；與之比較的全體比例分母為曾參與 47,
221,第 4 章,裸數字（人數）,19 人,19,,計數（分母寫在同段落的其他數字裡）,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與者依年齡收合三層（30 歲以下 10、31–40 歲 19、41 歲以上 18）；與之比較的全體比例分母為曾參與 47,
221,第 4 章,裸數字（人數）,18 人,18,,計數（分母寫在同段落的其他數字裡）,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與者依年齡收合三層（30 歲以下 10、31–40 歲 19、41 歲以上 18）；與之比較的全體比例分母為曾參與 47,
221,第 4 章,裸數字（人數）,4 人,4,,計數（分母寫在同段落的其他數字裡）,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與者依年齡收合三層（30 歲以下 10、31–40 歲 19、41 歲以上 18）；與之比較的全體比例分母為曾參與 47,
221,第 4 章,裸數字（人數）,19 人,19,,計數（分母寫在同段落的其他數字裡）,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與者依年齡收合三層（30 歲以下 10、31–40 歲 19、41 歲以上 18）；與之比較的全體比例分母為曾參與 47,
221,第 4 章,裸數字（其他量詞）,20 個,,,計數或題目設計說明,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與者依年齡收合三層（30 歲以下 10、31–40 歲 19、41 歲以上 18）；與之比較的全體比例分母為曾參與 47,
221,第 4 章,裸數字（百分比）,89%,,,比例（分母寫在同段落的其他數字裡）,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與者依年齡收合三層（30 歲以下 10、31–40 歲 19、41 歲以上 18）；與之比較的全體比例分母為曾參與 47,
229,第 5 章,裸數字（人數）,47 位,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
231,第 5 章,寫明分母,66%（31/47）,31,47,人脈（例如：由社群介紹可諮詢的專家）,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
231,第 5 章,寫明分母,47%（22/47）,22,47,經費（例如：獎助金、標案或機構支持費用）,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
231,第 5 章,寫明分母,45%（21/47）,21,47,公開資料或開放資料（例如：政治獻金資料集）,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
231,第 5 章,寫明分母,40%（19/47）,19,47,場地（例如：NPO Hub）,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
231,第 5 章,寫明分母,36%（17/47）,17,47,現成的數位工具或平台（例如：Pol.is）,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
231,第 5 章,寫明分母,34%（16/47）,16,47,政府窗口（例如：協助將專案成果結合到體制內）,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
231,第 5 章,寫明分母,23%（11/47）,11,47,主要靠我自己想辦法,這個專案從開始到現在，曾使用過哪些資源？,曾參與 N=47，複選,L2
237,第 5.1 節,寫明分母,51%（24/47）,24,47,專案管理,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
237,第 5.1 節,寫明分母,45%（21/47）,21,47,行銷推廣,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
237,第 5.1 節,寫明分母,40%（19/47）,19,47,行政、後勤,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
237,第 5.1 節,寫明分母,38%（18/47）,18,47,文案撰寫,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
237,第 5.1 節,寫明分母,28%（13/47）,13,47,寫程式,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
237,第 5.1 節,寫明分母,23%（11/47）,11,47,活絡氣氛與關係維繫（舉例：讓夥伴彼此熟識、張羅食物，維持協作順暢）,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
237,第 5.1 節,寫明分母,17%（8/47）,8,47,體驗設計（UI／UX）,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
237,第 5.1 節,寫明分母,15%（7/47）,7,47,視覺設計,在這個專案裡，你主要的專長、或協助的任務是？,曾參與 N=47，複選；問的是在該專案負責什麼，不是會什麼,L2
237,第 5.1 節,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
239,第 5.1 節,寫明分母,35%（9/26）,9,26,覺得要會寫程式、技術門檻太高,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
245,第 5.2 節,寫明分母,32%（15/47）,15,47,1 到 5 小時,過去 30 天，你大約花了多少時間在這個專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
245,第 5.2 節,寫明分母,23%（11/47）,11,47,6 到 20 小時,過去 30 天，你大約花了多少時間在這個專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
245,第 5.2 節,寫明分母,23%（11/47）,11,47,幾乎沒有,過去 30 天，你大約花了多少時間在這個專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
245,第 5.2 節,寫明分母,21%（10/47）,10,47,21 小時以上,過去 30 天，你大約花了多少時間在這個專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
249,第 5.2 節,寫明分母,21%（10/47）,10,47,21 小時以上,過去 30 天，你大約花了多少時間在這個專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
255,第 6 章,裸數字（人數）,27 人,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
255,第 6 章,裸數字（人數）,127 人,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
255,第 6 章,裸數字（人數）,12 人,12,,計數（分母寫在同段落的其他數字裡）,你曾經為公民科技專案提供經費方面的支持嗎？ × 你曾經在公民科技專案裡，擔任過哪些角色？,曾出資者 27／全體 127／角色題 101，三個分母不可互換（見附錄 A4）,
255,第 6 章,裸數字（人數）,27 人,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
257,第 6 章,裸數字（人數）,27 位,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
257,第 6 章,裸數字（人數）,20 人,20,,計數（分母寫在同段落的其他數字裡）,你曾經為公民科技專案提供經費方面的支持嗎？ × 入坑分層,曾出資者 N=27 依入坑分層拆開（20／6／1）,
257,第 6 章,裸數字（人數）,6 人,6,,計數（分母寫在同段落的其他數字裡）,你曾經為公民科技專案提供經費方面的支持嗎？ × 入坑分層,曾出資者 N=27 依入坑分層拆開（20／6／1）,
257,第 6 章,裸數字（人數）,1 人,1,,計數（分母寫在同段落的其他數字裡）,你曾經為公民科技專案提供經費方面的支持嗎？ × 入坑分層,曾出資者 N=27 依入坑分層拆開（20／6／1）,
259,第 6 章,裸數字（其他量詞）,3 個,,,計數或題目設計說明,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,題目設計說明：最多選 3 個，不是統計結果,
263,第 6 章,寫明分母,59%（16/27）,16,27,它要解決的問題夠重要、而且講得夠清楚,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
264,第 6 章,寫明分母,52%（14/27）,14,27,呼應我自己關心的議題,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
265,第 6 章,寫明分母,44%（12/27）,12,27,團隊或發起人的能力和信譽,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
266,第 6 章,寫明分母,44%（12/27）,12,27,預期能產生看得到、而且能被衡量的影響,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
267,第 6 章,寫明分母,41%（11/27）,11,27,專案有長期維持下去的規劃，不會經費花完就停止,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
268,第 6 章,寫明分母,26%（7/27）,7,27,當時剛好有預算或資源,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
274,第 6.1 節,寫明分母,52%（14/27）,14,27,還在很早期、只有想法的,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
274,第 6.1 節,寫明分母,37%（10/27）,10,27,已經上線、要長期維運的,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
274,第 6.1 節,寫明分母,11%（3/27）,3,27,已經做出原型、要往落地走的,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
274,第 6.1 節,裸數字（人數）,27 人,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
278,第 6.1 節,裸數字（人數）,27 人,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
286,第 7 章,寫明分母,40%（51/127）,51,127,親友推薦,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
286,第 7 章,寫明分母,23%（29/127）,29,127,全體／只靠親友推薦，沒有任何官方管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
286,第 7 章,寫明分母,19%（24/127）,24,127,揪松團每月電子報,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
286,第 7 章,寫明分母,12%（15/127）,15,127,揪松團 LINE 群組,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
286,第 7 章,寫明分母,11%（14/127）,14,127,都沒有，我之前不太清楚這些管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
286,第 7 章,裸數字（人數）,127 人,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
294,第 7 章,寫明分母,65%（83/127）,83,127,全體／至少用到一個官方管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重,L2
294,第 7 章,寫明分母,40%（51/127）,51,127,全體／有靠親友推薦,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重,L2
294,第 7 章,裸數字（人數）,127 人,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
295,第 7 章,寫明分母,72%（34/47）,34,47,曾參與／至少用到一個官方管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,曾參與；以人去重,L2
295,第 7 章,寫明分母,47%（22/47）,22,47,曾參與／有靠親友推薦,你現在主要透過哪些管道，得知 g0v 的活動消息？,曾參與；以人去重,L2
295,第 7 章,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
299,第 7 章,裸數字（人數）,127 人,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
301,第 7 章,裸數字（人數）,127 人,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
301,第 7 章,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
303,第 7 章,寫明分母,48%（61/127）,61,127,全體／只有官方管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
303,第 7 章,寫明分母,51%（24/47）,24,47,曾參與／只有官方管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,曾參與；以人去重；互斥四分組相加＝分母,L2
304,第 7 章,寫明分母,17%（22/127）,22,127,全體／官方與親友都有,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
304,第 7 章,寫明分母,21%（10/47）,10,47,曾參與／官方與親友都有,你現在主要透過哪些管道，得知 g0v 的活動消息？,曾參與；以人去重；互斥四分組相加＝分母,L2
305,第 7 章,寫明分母,23%（29/127）,29,127,全體／只靠親友推薦，沒有任何官方管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
305,第 7 章,寫明分母,26%（12/47）,12,47,曾參與／只靠親友推薦，沒有任何官方管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,曾參與；以人去重；互斥四分組相加＝分母,L2
306,第 7 章,寫明分母,12%（15/127）,15,127,全體／兩者都沒有,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
306,第 7 章,寫明分母,2%（1/47）,1,47,曾參與／兩者都沒有,你現在主要透過哪些管道，得知 g0v 的活動消息？,曾參與；以人去重；互斥四分組相加＝分母,L2
310,第 7 章,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
310,第 7 章,裸數字（人數）,1 人,1,,計數（分母寫在同段落的其他數字裡）,你現在主要透過哪些管道，得知 g0v 的活動消息？,互斥四分組；「1 人（2%）」分母為曾參與 47，「15 人（12%）」分母為全體 127,
310,第 7 章,裸數字（人數）,15 人,15,,計數（分母寫在同段落的其他數字裡）,你現在主要透過哪些管道，得知 g0v 的活動消息？,互斥四分組；「1 人（2%）」分母為曾參與 47，「15 人（12%）」分母為全體 127,
310,第 7 章,裸數字（百分比）,2%,,,比例（分母寫在同段落的其他數字裡）,你現在主要透過哪些管道，得知 g0v 的活動消息？,互斥四分組；「1 人（2%）」分母為曾參與 47，「15 人（12%）」分母為全體 127,
310,第 7 章,裸數字（百分比）,12%,,,比例（分母寫在同段落的其他數字裡）,你現在主要透過哪些管道，得知 g0v 的活動消息？,互斥四分組；「1 人（2%）」分母為曾參與 47，「15 人（12%）」分母為全體 127,
316,第 7.1 節,寫明分母,62%（16/26）,16,26,不知道有哪些專案或議題,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
316,第 7.1 節,寫明分母,54%（14/26）,14,26,身邊沒有人帶，怕自己融不進去、或幫不上忙,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
316,第 7.1 節,寫明分母,50%（13/26）,13,26,不知道怎麼加入、找不到入口,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
316,第 7.1 節,寫明分母,35%（9/26）,9,26,覺得要會寫程式、技術門檻太高,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
316,第 7.1 節,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
316,第 7.1 節,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
316,第 7.1 節,裸數字（其他量詞）,3 個,,,計數或題目設計說明,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,
328,第 7.2 節,寫明分母,57%（73/127）,73,127,公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
328,第 7.2 節,寫明分母,51%（65/127）,65,127,公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
328,第 7.2 節,寫明分母,49%（62/127）,62,127,公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
328,第 7.2 節,寫明分母,33%（42/127）,42,127,用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
328,第 7.2 節,裸數字（人數）,127 人,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
328,第 7.2 節,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
