報告位置（整合版）,報告位置（v1 舊報告）,項目,數字,分子,分母,驗算式,來源欄位／表,篩選條件,信賴度
第 4 章,§5.2 年齡×持續動機 lift,31 到 40 歲／想認識新朋友、找到同好,lift 1.15,7,19,(7/19) ÷ 0.3191 = 1.15,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=31 到 40 歲（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,31 到 40 歲／身邊有人在做，我就跟著加入,lift 1.03,5,19,(5/19) ÷ 0.2553 = 1.03,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=31 到 40 歲（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,31 到 40 歲／累積作品集，練功或建立好名聲,lift 未計算（勾選人數少於 5 人，倍數會被一兩個人左右）,2,19,(2/19) ÷ 0.1915＝未計算,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=31 到 40 歲（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,41 歲以上／我很認同這件事想達成的目標,lift 1.07,16,18,(16/18) ÷ 0.8298 = 1.07,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=41 歲以上（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,41 歲以上／我認同這個社群，想成為其中一員,lift 未計算（勾選人數少於 5 人，倍數會被一兩個人左右）,3,18,(3/18) ÷ 0.3617＝未計算,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=41 歲以上（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,41 歲以上／純粹覺得好玩、有趣,lift 未計算（勾選人數少於 5 人，倍數會被一兩個人左右）,2,18,(2/18) ÷ 0.3191＝未計算,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=41 歲以上（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,41 歲以上／想認識新朋友、找到同好,lift 未計算（勾選人數少於 5 人，倍數會被一兩個人左右）,4,18,(4/18) ÷ 0.3191＝未計算,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=41 歲以上（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,41 歲以上／身邊有人在做，我就跟著加入,lift 未計算（勾選人數少於 5 人，倍數會被一兩個人左右）,4,18,(4/18) ÷ 0.2553＝未計算,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=41 歲以上（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,41 歲以上／累積作品集，練功或建立好名聲,lift 未計算（勾選人數少於 5 人，倍數會被一兩個人左右）,3,18,(3/18) ÷ 0.1915＝未計算,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=41 歲以上（年齡收合 3 層）,L1（僅供產生假設）
未引用於整合版正文,§6.2 資源×階段,早期（探索或開發中）／人脈（例如：由社群介紹可諮詢的專家）,72.7%,8,11,8/11,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=早期（探索或開發中）,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,早期（探索或開發中）／經費（例如：獎助金、標案或機構支持費用）,54.5%,6,11,6/11,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=早期（探索或開發中）,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,早期（探索或開發中）／公開資料或開放資料（例如：政治獻金資料集）,18.2%,2,11,2/11,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=早期（探索或開發中）,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,早期（探索或開發中）／場地（例如：NPO Hub）,54.5%,6,11,6/11,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=早期（探索或開發中）,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,早期（探索或開發中）／現成的數位工具或平台（例如：Pol.is）,54.5%,6,11,6/11,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=早期（探索或開發中）,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,早期（探索或開發中）／政府窗口（例如：協助將專案成果結合到體制內）,36.4%,4,11,4/11,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=早期（探索或開發中）,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,早期（探索或開發中）／主要靠我自己想辦法,27.3%,3,11,3/11,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=早期（探索或開發中）,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,早期（探索或開發中）／其他（自由填答）,9.1%,1,11,1/11,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=早期（探索或開發中）,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,落地／人脈（例如：由社群介紹可諮詢的專家）,47.1%,8,17,8/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,落地／經費（例如：獎助金、標案或機構支持費用）,29.4%,5,17,5/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,落地／公開資料或開放資料（例如：政治獻金資料集）,52.9%,9,17,9/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,落地／場地（例如：NPO Hub）,23.5%,4,17,4/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,落地／現成的數位工具或平台（例如：Pol.is）,41.2%,7,17,7/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,落地／政府窗口（例如：協助將專案成果結合到體制內）,29.4%,5,17,5/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,落地／主要靠我自己想辦法,35.3%,6,17,6/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,落地／其他（自由填答）,0.0%,0,17,0/17,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=落地,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,維運／人脈（例如：由社群介紹可諮詢的專家）,84.6%,11,13,11/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,維運／經費（例如：獎助金、標案或機構支持費用）,61.5%,8,13,8/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,維運／公開資料或開放資料（例如：政治獻金資料集）,61.5%,8,13,8/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,維運／場地（例如：NPO Hub）,46.2%,6,13,6/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,維運／現成的數位工具或平台（例如：Pol.is）,30.8%,4,13,4/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,維運／政府窗口（例如：協助將專案成果結合到體制內）,46.2%,6,13,6/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,維運／主要靠我自己想辦法,15.4%,2,13,2/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,維運／其他（自由填答）,0.0%,0,13,0/13,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=維運,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,停擺／人脈（例如：由社群介紹可諮詢的專家）,66.7%,4,6,4/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,停擺／經費（例如：獎助金、標案或機構支持費用）,50.0%,3,6,3/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,停擺／公開資料或開放資料（例如：政治獻金資料集）,33.3%,2,6,2/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,停擺／場地（例如：NPO Hub）,50.0%,3,6,3/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,停擺／現成的數位工具或平台（例如：Pol.is）,0.0%,0,6,0/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,停擺／政府窗口（例如：協助將專案成果結合到體制內）,16.7%,1,6,1/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,停擺／主要靠我自己想辦法,0.0%,0,6,0/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
未引用於整合版正文,§6.2 資源×階段,停擺／其他（自由填答）,0.0%,0,6,0/6,這個專案從開始到現在，曾使用過哪些資源？,曾參與且階段=停擺,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,方向決策者／人脈（例如：由社群介紹可諮詢的專家）,78.6%,22,28,22/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,方向決策者／經費（例如：獎助金、標案或機構支持費用）,50.0%,14,28,14/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,方向決策者／公開資料或開放資料（例如：政治獻金資料集）,50.0%,14,28,14/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,方向決策者／場地（例如：NPO Hub）,50.0%,14,28,14/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,方向決策者／現成的數位工具或平台（例如：Pol.is）,42.9%,12,28,12/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,方向決策者／政府窗口（例如：協助將專案成果結合到體制內）,42.9%,12,28,12/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,方向決策者／主要靠我自己想辦法,25.0%,7,28,7/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,方向決策者／其他（自由填答）,0.0%,0,28,0/28,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=方向決策者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,執行協力者／人脈（例如：由社群介紹可諮詢的專家）,47.4%,9,19,9/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,執行協力者／經費（例如：獎助金、標案或機構支持費用）,42.1%,8,19,8/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,執行協力者／公開資料或開放資料（例如：政治獻金資料集）,36.8%,7,19,7/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,執行協力者／場地（例如：NPO Hub）,26.3%,5,19,5/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,執行協力者／現成的數位工具或平台（例如：Pol.is）,26.3%,5,19,5/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,執行協力者／政府窗口（例如：協助將專案成果結合到體制內）,21.1%,4,19,4/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,執行協力者／主要靠我自己想辦法,21.1%,4,19,4/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
未引用於整合版正文,§6.3 資源×決策位置,執行協力者／其他（自由填答）,5.3%,1,19,1/19,這個專案從開始到現在，曾使用過哪些資源？,曾參與且決策位置=執行協力者,L1（僅供參考）
第 6 章,§7 出資評估準則,它要解決的問題夠重要、而且講得夠清楚,59.3%,16,27,16/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
第 6 章,§7 出資評估準則,呼應我自己關心的議題,51.9%,14,27,14/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
第 6 章,§7 出資評估準則,團隊或發起人的能力和信譽,44.4%,12,27,12/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
第 6 章,§7 出資評估準則,預期能產生看得到、而且能被衡量的影響,44.4%,12,27,12/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
第 6 章,§7 出資評估準則,專案有長期維持下去的規劃，不會經費花完就停止,40.7%,11,27,11/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
第 6 章,§7 出資評估準則,當時剛好有預算或資源,25.9%,7,27,7/27,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
第 6.1 節,§7 資源沙漠階段,還在很早期、只有想法的,51.9%,14,27,14/27,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
第 6.1 節,§7 資源沙漠階段,已經上線、要長期維運的,37.0%,10,27,10/27,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
第 6.1 節,§7 資源沙漠階段,已經做出原型、要往落地走的,11.1%,3,27,3/27,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
第 8.2 節,§8.2 跨領域工具,群眾協力與通報工具（讓沒有技術背景的人，也能簡單回報、標記，一起累積資料）,61.1%,77,126,77/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
第 8.2 節,§8.2 跨領域工具,AI 應用（用 AI 整理、查證資料等）,54.0%,68,126,68/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
第 8.2 節,§8.2 跨領域工具,資料視覺化工具,51.6%,65,126,65/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
第 8.2 節,§8.2 跨領域工具,地理資訊與地圖工具（GIS、線上地圖）,42.1%,53,126,53/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
第 8.2 節,§8.2 跨領域工具,民意蒐集與線上審議工具（例如問卷、Polis、討論平台）,32.5%,41,126,41/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
第 8.2 節,§8.2 跨領域工具,怎麼找到現成的研究成果（學術論文、政府委辦研究、考察報告）,31.0%,39,126,39/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
第 8.2 節,§8.2 跨領域工具,開放協作知識庫（維基百科、Wikidata 等共筆知識）,19.0%,24,126,24/126,下面這些「跨領域都用得到的工具」，你最想看哪些介紹？請選最多 3 個工具,全體，最多選 3,L2
第 8.2 節,§8.2 議題領域,政府預算、決算與標案（看政府的錢怎麼花）,53.5%,68,127,68/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,地方發展與地方創生,47.2%,60,127,60/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,防災與災害應變,42.5%,54,127,54/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,假訊息與詐騙防治,41.7%,53,127,53/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,環境汙染與公害,30.7%,39,127,39/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,法律、立法歷程,30.7%,39,127,39/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,居住與租屋,29.9%,38,127,38/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,生態與生物多樣性,29.1%,37,127,37/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,交通與道路安全,24.4%,31,127,31/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,水環境（河川、海洋）,22.8%,29,127,29/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,健康與醫療,22.0%,28,127,28/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,土地使用與違章建築,21.3%,27,127,27/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,教育、親子與兒少青年,20.5%,26,127,26/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,司法判決資料,17.3%,22,127,22/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,選舉與政見資料,16.5%,21,127,21/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,語言與溝通（例如台語、點字）,15.0%,19,127,19/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 8.2 節,§8.2 議題領域,其他（自由填答）,3.9%,5,127,5/127,我們會整理「某個議題領域有哪些現成資料可以用」的清單。你最想先看到哪些領域？請選最多 5 個領域,全體，最多選 5,L2
第 7 章,§9.1 g0v 消息管道,g0v 社群管道（FB_Threads_Instgram),40.2%,51,127,51/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
第 7 章,§9.1 g0v 消息管道,親友推薦,40.2%,51,127,51/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
第 7 章,§9.1 g0v 消息管道,g0v Slack,22.8%,29,127,29/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
第 7 章,§9.1 g0v 消息管道,揪松團每月電子報,18.9%,24,127,24/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
第 7 章,§9.1 g0v 消息管道,揪松團 LINE 群組,11.8%,15,127,15/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
第 7 章,§9.1 g0v 消息管道,都沒有，我之前不太清楚這些管道,11.0%,14,127,14/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
第 7 章,§9.1 g0v 消息管道,社群活動資訊彙整網頁（https://g0v.hackmd.io/@jothon/event）,4.7%,6,127,6/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
第 7 章,§9.1 g0v 消息管道,其他（自由填答）,3.1%,4,127,4/127,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體，複選,L2
第 1 章,§9.1 資訊管道,非營利組織（例如：開放文化基金會、地球公民基金會）,59.1%,75,127,75/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
第 1 章,§9.1 資訊管道,開源社群（例如：COSCUP、SITCON、g0v）,53.5%,68,127,68/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
第 1 章,§9.1 資訊管道,研究單位,19.7%,25,127,25/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
第 1 章,§9.1 資訊管道,學校,15.7%,20,127,20/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
第 1 章,§9.1 資訊管道,我還不熟悉相關資訊管道,11.0%,14,127,14/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
第 1 章,§9.1 資訊管道,政府單位,7.1%,9,127,9/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
第 1 章,§9.1 資訊管道,其他（自由填答）,4.7%,6,127,6/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
第 1 章,§9.1 資訊管道,企業,1.6%,2,127,2/127,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
第 7 章,§9.2 未參與原因,不知道有哪些專案或議題,61.5%,16,26,16/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
第 7 章,§9.2 未參與原因,身邊沒有人帶，怕自己融不進去、或幫不上忙,53.8%,14,26,14/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
第 7 章,§9.2 未參與原因,不知道怎麼加入、找不到入口,50.0%,13,26,13/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
第 7 章,§9.2 未參與原因,覺得要會寫程式、技術門檻太高,34.6%,9,26,9/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
第 7 章,§9.2 未參與原因,沒有時間,30.8%,8,26,8/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
第 7 章,§9.2 未參與原因,還沒遇到讓我想投入的議題,15.4%,4,26,4/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
第 7 章,§9.2 未參與原因,覺得參與好像也改變不了什麼,7.7%,2,26,2/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
第 7 章,§9.2 未參與原因,其他（自由填答）,3.8%,1,26,1/26,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
第 7 章,§9.4 活動意願,公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,57.5%,73,127,73/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
第 7 章,§9.4 活動意願,公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,51.2%,65,127,65/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
第 7 章,§9.4 活動意願,公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,48.8%,62,127,62/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
第 7 章,§9.4 活動意願,用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,33.1%,42,127,42/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
第 7 章,§9.4 活動意願,目前都沒有特別想參加,1.6%,2,127,2/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
第 7 章,§9.4 活動意願,其他（自由填答）,0.8%,1,127,1/127,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,全體，最多選 2,L2
第 7 章,§9.4 活動意願×三層,從未接觸／公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,46.2%,12,26,12/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
第 7 章,§9.4 活動意願×三層,從未接觸／公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,53.8%,14,26,14/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
第 7 章,§9.4 活動意願×三層,從未接觸／公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,69.2%,18,26,18/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
第 7 章,§9.4 活動意願×三層,從未接觸／用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,34.6%,9,26,9/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
第 7 章,§9.4 活動意願×三層,從未接觸／目前都沒有特別想參加,0.0%,0,26,0/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
第 7 章,§9.4 活動意願×三層,從未接觸／其他（自由填答）,0.0%,0,26,0/26,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=從未接觸,L1（僅供參考）
第 7 章,§9.4 活動意願×三層,接觸未參與／公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,59.3%,32,54,32/54,如果 g0v 揪松團舉辦下面這些活動，你最想報名的是哪兩個？,入坑分層=接觸未參與,L3
